,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,246,1,0,1,114,0
1,246,0,0,0,146,0
2,246,1,0,1,169,0
3,247,0,0,1,192,1
4,246,0,1,0,143,-1
5,244,1,1,0,150,-2
6,246,0,0,2,191,2
7,246,0,0,0,183,0
8,247,0,0,1,138,1
9,247,0,0,0,130,0
10,246,0,1,0,134,-1
11,245,1,0,0,170,-1
12,245,0,0,0,151,0
13,243,1,1,0,192,-2
14,243,0,1,1,185,0
15,246,0,0,3,132,3
16,246,1,0,1,148,0
17,247,0,0,1,132,1
18,246,0,1,0,143,-1
19,246,0,1,1,198,0
20,245,0,1,0,168,-1
21,246,0,0,1,145,1
22,245,0,1,0,155,-1
23,244,1,1,1,197,-1
24,246,0,0,2,146,2
25,246,0,0,0,128,0
26,248,0,0,2,128,2
27,248,0,0,0,138,0
28,248,0,0,0,203,0
29,249,0,0,1,161,1
30,248,1,0,0,160,-1
31,246,1,1,0,115,-2
32,245,1,0,0,151,-1
33,245,0,0,0,128,0
34,247,0,1,3,162,2
35,247,0,0,0,126,0
36,247,0,0,0,161,0
37,247,0,1,1,167,0
38,249,0,0,2,201,2
39,250,0,0,1,180,1
40,250,0,0,0,142,0
41,251,0,0,1,118,1
42,252,0,0,1,135,1
43,252,1,0,1,199,0
44,252,0,0,0,165,0
45,252,0,0,0,156,0
46,253,0,0,1,114,1
47,252,1,0,0,140,-1
48,252,1,0,1,184,0
49,252,0,1,1,188,0
50,251,0,2,1,145,-1
51,250,1,0,0,138,-1
52,251,0,0,1,207,1
53,251,0,0,0,152,0
54,252,0,0,1,147,1
55,251,0,1,0,195,-1
56,251,1,0,1,133,0
57,252,0,0,1,152,1
58,252,0,0,0,120,0
59,252,0,0,0,177,0
60,253,0,0,1,187,1
61,254,0,0,1,185,1
62,254,0,0,0,150,0
63,253,0,1,0,169,-1
64,253,0,1,1,199,0
65,253,1,0,1,138,0
66,252,0,1,0,150,-1
67,251,0,1,0,151,-1
68,251,0,0,0,165,0
69,251,0,0,0,160,0
70,252,0,0,1,168,1
71,250,1,1,0,123,-2
72,250,0,0,0,145,0
73,250,0,0,0,203,0
74,250,0,0,0,193,0
75,250,0,0,0,141,0
76,250,0,0,0,148,0
77,250,0,0,0,169,0
78,249,1,0,0,154,-1
79,249,0,0,0,161,0
80,249,0,0,0,158,0
81,249,0,1,1,120,0
82,247,0,2,0,138,-2
83,248,0,0,1,194,1
84,249,0,0,1,161,1
85,250,0,0,1,146,1
86,250,0,0,0,117,0
87,251,0,1,2,195,1
88,250,0,1,0,154,-1
89,249,0,1,0,132,-1
90,249,0,0,0,192,0
91,250,0,0,1,158,1
92,252,0,0,2,141,2
93,252,0,1,1,114,0
94,254,0,0,2,174,2
95,255,0,0,1,194,1
96,254,0,2,1,159,-1
97,254,0,1,1,146,0
98,255,0,1,2,207,1
99,255,0,0,0,155,0
100,255,0,0,0,115,0
101,255,0,0,0,137,0
102,253,2,1,1,152,-2
103,252,1,0,0,162,-1
104,252,0,1,1,150,0
105,253,0,0,1,163,1
106,253,0,0,0,158,0
107,255,0,0,2,148,2
108,255,0,1,1,200,0
109,255,1,0,1,178,0
110,251,1,3,0,151,-4
111,252,0,0,1,158,1
