,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,250,0,0,0,0
1,249,0,1,0,-1
2,254,2,-1,4,5
3,259,0,-5,0,5
4,262,0,-3,0,3
5,257,0,5,0,-5
6,260,1,-3,0,3
7,260,0,0,0,0
8,262,0,-2,0,2
9,269,0,-7,0,7
10,271,0,-2,0,2
11,275,0,-2,2,4
12,278,0,-1,2,3
13,278,1,0,0,0
14,276,1,2,0,-2
15,277,0,-1,0,1
16,280,0,-3,0,3
17,281,0,-1,0,1
18,282,0,-1,0,1
19,286,0,-2,2,4
20,286,1,2,2,0
21,287,0,-1,0,1
22,289,1,-2,0,2
23,291,0,0,2,2
24,294,0,-3,0,3
25,294,1,0,0,0
26,292,0,2,0,-2
27,294,0,0,2,2
28,294,0,0,0,0
29,294,0,0,0,0
30,295,0,3,4,1
31,295,0,0,0,0
32,295,0,2,2,0
33,294,0,1,0,-1
34,290,1,4,0,-4
35,290,0,2,2,0
36,290,0,0,0,0
37,293,0,-3,0,3
38,296,0,-3,0,3
39,298,0,-2,0,2
40,303,0,-5,0,5
41,304,0,-1,0,1
42,304,0,2,2,0
43,308,0,-2,2,4
44,305,0,3,0,-3
45,306,0,-1,0,1
46,308,0,-2,0,2
47,307,0,1,0,-1
48,305,0,2,0,-2
49,304,0,1,0,-1
50,303,0,1,0,-1
51,303,0,0,0,0
52,302,0,1,0,-1
53,302,0,0,0,0
54,306,1,-4,0,4
55,309,0,-3,0,3
56,308,1,1,0,-1
57,310,0,0,2,2
58,310,0,2,2,0
59,311,0,-1,0,1
60,309,0,2,0,-2
61,306,1,3,0,-3
62,306,0,0,0,0
63,305,0,3,2,-1
64,305,0,0,0,0
65,305,0,0,0,0
66,305,0,0,0,0
67,306,0,1,2,1
68,307,0,-1,0,1
69,306,0,1,0,-1
70,306,0,0,0,0
71,306,0,0,0,0
72,304,0,2,0,-2
73,304,0,0,0,0
74,304,0,0,0,0
75,305,0,-1,0,1
76,304,0,1,0,-1
77,302,0,2,0,-2
78,302,1,0,0,0
79,298,1,4,0,-4
80,296,0,2,0,-2
81,296,1,0,0,0
82,294,0,2,0,-2
83,293,1,1,0,-1
84,294,0,-1,0,1
85,296,0,0,2,2
86,296,0,0,0,0
87,297,0,-1,0,1
88,300,0,-1,2,3
89,300,0,0,0,0
90,300,0,0,0,0
91,299,0,1,0,-1
92,300,0,1,2,1
93,302,0,-2,0,2
94,303,0,-1,0,1
95,302,1,1,0,-1
96,303,0,-1,0,1
97,304,0,-1,0,1
98,303,0,1,0,-1
99,302,1,1,0,-1
100,301,0,3,2,-1
101,300,0,1,0,-1
102,300,0,0,0,0
103,294,0,6,0,-6
104,293,0,1,0,-1
105,291,1,2,0,-2
106,292,0,-1,0,1
107,293,0,-1,0,1
108,294,0,-1,0,1
109,290,0,4,0,-4
110,286,1,4,0,-4
111,285,0,1,0,-1
112,283,0,2,0,-2
113,281,1,4,2,-2
114,278,1,3,0,-3
115,277,0,3,2,-1
116,278,0,-1,0,1
117,279,0,-1,0,1
118,279,0,0,0,0
119,280,0,-1,0,1
120,280,0,2,2,0
121,279,0,1,0,-1
122,277,0,4,2,-2
123,277,0,0,0,0
124,276,0,1,0,-1
125,276,0,0,0,0
126,275,0,1,0,-1
127,275,0,0,0,0
128,275,0,0,0,0
129,274,0,1,0,-1
130,273,1,1,0,-1
131,272,0,3,2,-1
132,271,0,1,0,-1
133,271,1,0,0,0
134,271,0,0,0,0
135,271,0,0,0,0
136,270,0,1,0,-1
137,270,0,0,0,0
138,267,0,3,0,-3
139,267,0,0,0,0
140,268,0,1,2,1
141,268,0,0,0,0
142,265,0,3,0,-3
143,265,0,0,0,0
144,263,0,2,0,-2
145,263,0,0,0,0
146,263,0,0,0,0
147,263,1,0,0,0
148,262,0,1,0,-1
149,260,1,2,0,-2
150,258,0,2,0,-2
151,258,0,0,0,0
152,257,0,1,0,-1
153,258,0,-1,0,1
154,256,0,2,0,-2
155,256,0,0,0,0
156,256,0,0,0,0
157,255,0,1,0,-1
158,255,0,0,0,0
159,254,1,1,0,-1
160,253,0,1,0,-1
161,253,0,0,0,0
162,252,0,1,0,-1
163,252,0,0,0,0
164,252,0,0,0,0
165,250,1,2,0,-2
166,249,1,1,0,-1
167,249,0,0,0,0
168,246,1,3,0,-3
169,248,0,0,2,2
170,248,0,0,0,0
171,248,0,0,0,0
172,249,0,-1,0,1
173,248,1,1,0,-1
174,246,0,2,0,-2
175,245,0,1,0,-1
176,245,0,0,0,0
177,243,0,2,0,-2
178,244,0,-1,0,1
179,244,0,0,0,0
180,242,0,2,0,-2
181,242,1,0,0,0
182,239,0,3,0,-3
183,240,0,1,2,1
184,238,0,2,0,-2
185,238,0,0,0,0
186,238,0,0,0,0
187,237,0,1,0,-1
188,237,0,0,0,0
189,236,0,1,0,-1
190,238,0,0,2,2
191,236,0,2,0,-2
192,236,0,0,0,0
193,235,0,1,0,-1
194,237,0,0,2,2
195,237,0,0,0,0
196,237,0,0,0,0
197,236,0,1,0,-1
198,234,0,2,0,-2
199,234,0,2,2,0
200,233,0,1,0,-1
201,233,0,0,0,0
202,232,0,1,0,-1
203,233,0,-1,0,1
204,234,1,-1,0,1
205,236,0,-2,0,2
206,236,1,0,0,0
207,236,0,0,0,0
208,234,2,2,0,-2
209,234,1,0,0,0
210,233,0,1,0,-1
211,234,0,-1,0,1
212,234,0,0,0,0
213,235,0,-1,0,1
214,235,1,0,0,0
215,235,0,0,0,0
216,235,0,0,0,0
217,235,0,0,0,0
218,235,0,0,0,0
219,238,0,1,4,3
220,239,0,-1,0,1
221,241,1,-2,0,2
222,242,0,-1,0,1
223,242,0,2,2,0
224,242,0,0,0,0
225,241,0,1,0,-1
226,242,0,-1,0,1
227,240,0,2,0,-2
228,238,0,2,0,-2
229,239,0,1,2,1
230,240,0,-1,0,1
