,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,250,0,0,0,0
1,250,0,0,0,0
2,250,0,0,0,0
3,250,0,0,0,0
4,250,0,0,0,0
5,250,0,0,0,0
6,250,0,0,0,0
7,250,0,0,0,0
8,249,0,1,0,-1
9,249,0,0,0,0
10,249,0,0,0,0
11,248,1,0,0,-1
12,248,0,0,0,0
13,248,0,0,0,0
14,248,0,0,0,0
15,248,0,0,0,0
16,248,0,0,0,0
17,248,0,0,0,0
18,247,1,0,0,-1
19,247,0,0,0,0
20,247,0,0,0,0
21,247,0,0,0,0
22,247,0,0,0,0
23,247,0,0,0,0
24,246,0,1,0,-1
25,246,0,0,0,0
26,246,0,0,0,0
27,246,0,0,0,0
28,245,1,0,0,-1
29,245,0,0,0,0
30,245,0,0,0,0
31,245,0,0,0,0
32,245,0,0,0,0
33,245,0,0,0,0
34,245,0,0,0,0
35,245,0,0,0,0
36,244,1,0,0,-1
37,244,0,0,0,0
38,244,0,0,0,0
39,244,0,0,0,0
40,244,0,0,0,0
41,244,0,0,0,0
42,244,0,0,0,0
43,243,1,0,0,-1
44,243,0,0,0,0
45,243,0,0,0,0
46,243,0,0,0,0
47,243,0,0,0,0
48,243,0,0,0,0
49,243,0,0,0,0
50,243,0,0,0,0
51,243,0,0,0,0
52,243,0,0,0,0
53,243,0,0,0,0
54,243,0,0,0,0
55,243,0,0,0,0
56,243,0,0,0,0
57,243,0,0,0,0
58,243,0,0,0,0
59,243,0,0,0,0
60,243,0,0,0,0
61,243,0,0,0,0
62,243,0,0,0,0
63,243,0,0,0,0
64,243,0,0,0,0
65,242,1,0,0,-1
66,242,0,0,0,0
67,242,0,0,0,0
68,242,0,0,0,0
69,242,0,0,0,0
70,242,0,0,0,0
71,242,0,0,0,0
72,242,0,0,0,0
73,242,0,0,0,0
74,242,0,0,0,0
75,242,0,0,0,0
76,242,0,0,0,0
77,242,0,0,0,0
78,242,0,0,0,0
79,241,1,0,0,-1
80,240,0,1,0,-1
81,240,0,0,0,0
82,240,0,0,0,0
83,240,0,0,0,0
84,240,0,0,0,0
85,240,0,0,0,0
86,240,0,0,0,0
87,238,1,1,0,-2
88,238,0,0,0,0
89,237,1,0,0,-1
90,237,0,0,0,0
91,237,0,0,0,0
92,237,0,0,0,0
93,237,0,0,0,0
94,237,0,0,0,0
95,237,0,0,0,0
96,237,0,0,0,0
97,237,0,0,0,0
98,237,0,0,0,0
99,237,0,0,0,0
100,237,0,0,0,0
101,237,0,0,0,0
102,237,0,0,0,0
103,236,0,1,0,-1
104,235,0,1,0,-1
105,235,0,0,0,0
106,235,0,0,0,0
107,235,0,0,0,0
108,235,0,0,0,0
109,235,0,0,0,0
110,235,0,0,0,0
111,235,0,0,0,0
112,235,0,0,0,0
113,235,0,0,0,0
114,235,0,0,0,0
115,235,0,0,0,0
116,235,0,0,0,0
117,235,0,0,0,0
118,235,0,0,0,0
119,235,0,0,0,0
120,235,0,0,0,0
121,235,0,0,0,0
122,235,0,0,0,0
123,235,0,0,0,0
124,235,0,0,0,0
125,235,0,0,0,0
126,235,0,0,0,0
127,235,0,0,0,0
128,234,0,1,0,-1
129,234,0,0,0,0
130,233,0,1,0,-1
131,233,0,0,0,0
132,233,0,0,0,0
133,233,0,0,0,0
134,233,0,0,0,0
135,233,0,0,0,0
136,233,0,0,0,0
137,233,0,0,0,0
138,233,0,0,0,0
139,233,0,0,0,0
140,233,0,0,0,0
141,233,0,0,0,0
142,233,0,0,0,0
143,233,0,0,0,0
144,233,0,0,0,0
145,233,0,0,0,0
146,233,0,0,0,0
147,233,0,0,0,0
148,233,0,0,0,0
149,233,0,0,0,0
150,233,0,0,0,0
151,233,0,0,0,0
152,233,0,0,0,0
153,233,0,0,0,0
154,233,0,0,0,0
155,233,0,0,0,0
156,233,0,0,0,0
157,233,0,0,0,0
158,233,0,0,0,0
159,233,0,0,0,0
160,233,0,0,0,0
161,232,0,1,0,-1
162,232,0,0,0,0
163,232,0,0,0,0
164,232,0,0,0,0
165,232,0,0,0,0
166,232,0,0,0,0
