,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,249,0,1,0,-1
1,249,0,0,0,0
2,249,0,0,0,0
3,249,0,0,0,0
4,248,0,1,0,-1
5,248,0,0,0,0
6,248,0,0,0,0
7,248,0,0,0,0
8,248,0,0,0,0
9,248,0,0,0,0
10,248,0,0,0,0
11,248,0,0,0,0
12,248,0,0,0,0
13,248,0,0,0,0
14,248,0,0,0,0
15,248,0,0,0,0
16,248,0,0,0,0
17,248,0,0,0,0
18,248,0,0,0,0
19,247,1,0,0,-1
20,247,0,0,0,0
21,247,0,0,0,0
22,247,0,0,0,0
23,247,0,0,0,0
24,247,0,0,0,0
25,247,0,0,0,0
26,247,0,0,0,0
27,247,0,0,0,0
28,247,0,0,0,0
29,247,0,0,0,0
30,247,0,0,0,0
31,247,0,0,0,0
32,247,0,0,0,0
33,247,0,0,0,0
34,247,0,0,0,0
35,247,0,0,0,0
36,247,0,0,0,0
37,247,0,0,0,0
38,247,0,0,0,0
39,247,0,0,0,0
40,247,0,0,0,0
41,247,0,0,0,0
42,247,0,0,0,0
43,246,1,0,0,-1
44,246,0,0,0,0
45,246,0,0,0,0
46,246,0,0,0,0
47,246,0,0,0,0
48,246,0,0,0,0
49,246,0,0,0,0
50,245,0,1,0,-1
51,245,0,0,0,0
52,245,0,0,0,0
53,245,0,0,0,0
54,245,0,0,0,0
55,244,0,1,0,-1
56,244,0,0,0,0
57,244,0,0,0,0
58,243,1,0,0,-1
59,243,0,0,0,0
60,243,0,0,0,0
61,243,0,0,0,0
62,243,0,0,0,0
63,243,0,0,0,0
64,243,0,0,0,0
65,243,0,0,0,0
66,243,0,0,0,0
67,243,0,0,0,0
68,243,0,0,0,0
69,243,0,0,0,0
70,242,0,1,0,-1
71,242,0,0,0,0
72,241,1,0,0,-1
73,241,0,0,0,0
74,241,0,0,0,0
75,241,0,0,0,0
76,241,0,0,0,0
77,241,0,0,0,0
78,241,0,0,0,0
79,241,0,0,0,0
80,241,0,0,0,0
81,241,0,0,0,0
82,241,0,0,0,0
83,241,0,0,0,0
84,241,0,0,0,0
85,241,0,0,0,0
86,241,0,0,0,0
87,241,0,0,0,0
88,241,0,0,0,0
89,241,0,0,0,0
90,241,0,0,0,0
91,241,0,0,0,0
92,241,0,0,0,0
93,241,0,0,0,0
94,241,0,0,0,0
95,241,0,0,0,0
96,240,1,0,0,-1
97,240,0,0,0,0
98,240,0,0,0,0
99,240,0,0,0,0
100,240,0,0,0,0
101,240,0,0,0,0
102,240,0,0,0,0
103,240,0,0,0,0
104,240,0,0,0,0
105,240,0,0,0,0
106,240,0,0,0,0
107,240,0,0,0,0
108,240,0,0,0,0
109,240,0,0,0,0
110,240,0,0,0,0
111,240,0,0,0,0
112,240,0,0,0,0
113,240,0,0,0,0
114,240,0,0,0,0
115,240,0,0,0,0
116,240,0,0,0,0
117,240,0,0,0,0
118,240,0,0,0,0
119,240,0,0,0,0
120,239,1,0,0,-1
121,239,0,0,0,0
122,238,1,0,0,-1
123,238,0,0,0,0
124,238,0,0,0,0
125,238,0,0,0,0
126,238,0,0,0,0
127,238,0,0,0,0
128,238,0,0,0,0
129,238,0,0,0,0
130,238,0,0,0,0
131,238,0,0,0,0
132,238,0,0,0,0
133,238,0,0,0,0
134,238,0,0,0,0
135,237,1,0,0,-1
136,237,0,0,0,0
137,237,0,0,0,0
138,237,0,0,0,0
139,237,0,0,0,0
140,237,0,0,0,0
141,237,0,0,0,0
142,237,0,0,0,0
143,237,0,0,0,0
144,237,0,0,0,0
145,237,0,0,0,0
146,237,0,0,0,0
147,237,0,0,0,0
148,237,0,0,0,0
149,237,0,0,0,0
150,237,0,0,0,0
151,237,0,0,0,0
152,237,0,0,0,0
153,237,0,0,0,0
154,237,0,0,0,0
155,237,0,0,0,0
156,237,0,0,0,0
157,237,0,0,0,0
158,236,1,0,0,-1
159,235,0,1,0,-1
160,235,0,0,0,0
161,235,0,0,0,0
162,235,0,0,0,0
163,234,1,0,0,-1
164,234,0,0,0,0
165,234,0,0,0,0
166,234,0,0,0,0
167,234,0,0,0,0
168,234,0,0,0,0
169,234,0,0,0,0
170,234,0,0,0,0
171,234,0,0,0,0
172,234,0,0,0,0
173,234,0,0,0,0
174,234,0,0,0,0
175,234,0,0,0,0
176,234,0,0,0,0
177,234,0,0,0,0
178,234,0,0,0,0
179,236,0,2,4,2
180,236,0,0,0,0
181,236,0,0,0,0
182,237,0,1,2,1
183,238,0,1,2,1
184,238,0,0,0,0
185,239,0,1,2,1
186,239,0,0,0,0
187,239,0,0,0,0
188,238,1,0,0,-1
189,238,0,0,0,0
190,239,0,1,2,1
191,239,0,0,0,0
192,239,0,0,0,0
193,239,0,0,0,0
194,240,0,1,2,1
195,240,0,0,0,0
196,239,1,0,0,-1
197,239,0,0,0,0
198,239,0,0,0,0
199,240,0,1,2,1
200,241,0,1,2,1
201,241,0,0,0,0
202,241,0,0,0,0
203,241,0,0,0,0
204,243,0,2,4,2
205,244,0,1,2,1
206,244,0,0,0,0
207,245,0,1,2,1
208,245,0,0,0,0
209,247,0,2,4,2
210,248,0,1,2,1
211,248,0,0,0,0
212,248,0,0,0,0
213,248,0,0,0,0
214,249,0,1,2,1
215,249,0,0,0,0
216,248,0,1,0,-1
217,248,0,0,0,0
218,249,0,1,2,1
219,249,0,0,0,0
220,249,0,0,0,0
221,249,0,0,0,0
222,249,0,0,0,0
223,251,0,2,4,2
224,250,1,0,0,-1
225,251,0,1,2,1
226,251,0,0,0,0
227,251,0,0,0,0
228,251,0,0,0,0
229,252,0,1,2,1
230,252,0,0,0,0
231,252,0,0,0,0
232,252,0,0,0,0
233,255,0,3,6,3
234,255,0,0,0,0
235,256,0,1,2,1
236,256,0,0,0,0
237,256,0,0,0,0
238,257,0,1,2,1
239,257,0,0,0,0
240,257,0,0,0,0
241,257,0,0,0,0
242,258,0,1,2,1
243,258,0,0,0,0
244,259,0,1,2,1
245,259,0,0,0,0
246,259,0,0,0,0
247,259,0,0,0,0
248,259,0,0,0,0
249,259,0,0,0,0
250,260,0,1,2,1
251,260,0,0,0,0
252,260,0,0,0,0
253,260,0,0,0,0
254,261,0,1,2,1
255,261,0,0,0,0
256,262,0,1,2,1
257,262,0,0,0,0
258,261,1,0,0,-1
259,261,0,0,0,0
260,261,0,0,0,0
261,261,0,0,0,0
262,261,0,0,0,0
263,261,0,0,0,0
264,261,0,0,0,0
265,262,0,1,2,1
266,262,0,0,0,0
267,262,0,0,0,0
268,262,0,0,0,0
269,261,1,0,0,-1
270,261,1,1,2,0
271,260,1,0,0,-1
272,260,0,0,0,0
273,260,0,0,0,0
274,261,0,1,2,1
275,261,0,0,0,0
276,261,0,0,0,0
277,262,0,1,2,1
278,261,1,0,0,-1
279,262,0,1,2,1
280,262,0,0,0,0
281,262,0,0,0,0
282,262,0,0,0,0
283,263,0,1,2,1
284,262,0,1,0,-1
285,262,0,0,0,0
286,262,0,0,0,0
287,262,0,0,0,0
288,262,0,0,0,0
289,262,0,0,0,0
290,262,0,0,0,0
291,262,0,0,0,0
292,262,0,0,0,0
293,262,0,0,0,0
294,263,0,1,2,1
295,264,0,1,2,1
296,264,0,0,0,0
297,264,0,0,0,0
298,266,0,2,4,2
299,266,0,0,0,0
300,266,0,0,0,0
301,266,0,0,0,0
302,266,0,0,0,0
303,267,0,1,2,1
304,266,1,0,0,-1
305,265,0,1,0,-1
306,266,0,1,2,1
307,267,0,1,2,1
308,268,0,1,2,1
309,269,0,1,2,1
310,267,2,0,0,-2
311,267,0,0,0,0
312,268,0,1,2,1
313,268,1,1,2,0
314,269,0,1,2,1
315,269,0,0,0,0
316,269,0,0,0,0
317,269,0,0,0,0
318,269,0,0,0,0
319,269,0,0,0,0
320,269,0,0,0,0
321,269,0,0,0,0
322,268,1,0,0,-1
323,267,1,0,0,-1
324,267,0,0,0,0
325,268,0,1,2,1
326,268,1,1,2,0
327,269,0,1,2,1
328,269,0,0,0,0
329,269,0,0,0,0
330,268,0,1,0,-1
331,269,0,1,2,1
332,269,0,0,0,0
333,269,0,0,0,0
334,270,0,1,2,1
335,270,1,1,2,0
336,270,0,0,0,0
337,271,0,1,2,1
338,272,0,1,2,1
339,273,0,1,2,1
340,273,0,0,0,0
341,273,0,0,0,0
342,274,0,1,2,1
343,274,0,0,0,0
344,274,0,0,0,0
345,275,0,1,2,1
346,275,0,0,0,0
347,276,0,1,2,1
348,276,0,0,0,0
349,277,0,1,2,1
350,276,0,1,0,-1
351,276,0,0,0,0
352,276,0,0,0,0
353,278,0,2,4,2
354,279,0,1,2,1
355,280,0,1,2,1
356,280,1,1,2,0
357,280,0,0,0,0
358,280,0,0,0,0
359,280,0,0,0,0
360,280,0,0,0,0
361,279,0,1,0,-1
362,280,0,1,2,1
363,280,0,0,0,0
364,280,0,0,0,0
365,280,0,0,0,0
366,280,0,0,0,0
367,280,0,0,0,0
368,280,0,0,0,0
369,280,0,0,0,0
370,280,0,0,0,0
371,280,0,0,0,0
372,280,0,0,0,0
373,280,0,0,0,0
374,281,0,1,2,1
375,283,0,2,4,2
376,284,0,1,2,1
377,284,0,0,0,0
378,284,0,0,0,0
379,284,0,0,0,0
380,285,0,1,2,1
381,285,0,0,0,0
382,285,1,1,2,0
383,285,0,0,0,0
384,285,0,0,0,0
385,286,0,1,2,1
386,286,0,0,0,0
387,286,0,0,0,0
388,288,0,2,4,2
389,287,0,1,0,-1
390,287,0,0,0,0
391,287,0,0,0,0
392,288,0,1,2,1
393,288,0,0,0,0
394,288,0,0,0,0
395,291,0,3,6,3
396,291,0,0,0,0
397,291,0,0,0,0
398,292,0,1,2,1
399,294,0,2,4,2
400,294,0,0,0,0
401,293,1,0,0,-1
402,294,0,1,2,1
403,294,0,0,0,0
404,294,0,0,0,0
405,293,1,0,0,-1
406,294,0,1,2,1
407,295,0,1,2,1
408,296,0,1,2,1
409,296,0,0,0,0
410,296,0,0,0,0
411,296,0,0,0,0
412,295,0,1,0,-1
413,297,0,2,4,2
414,298,0,1,2,1
415,297,1,0,0,-1
416,297,0,0,0,0
417,297,1,1,2,0
418,298,0,1,2,1
419,298,0,0,0,0
420,297,0,1,0,-1
421,297,0,0,0,0
422,297,0,0,0,0
423,298,0,1,2,1
424,298,0,0,0,0
425,298,0,0,0,0
426,298,0,0,0,0
427,300,0,2,4,2
428,300,0,0,0,0
429,301,0,1,2,1
430,301,0,0,0,0
431,301,0,0,0,0
432,301,0,0,0,0
433,302,0,1,2,1
434,302,0,0,0,0
435,302,0,0,0,0
436,302,0,0,0,0
437,302,0,0,0,0
438,303,0,1,2,1
