,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,250,0,0,0,0
1,249,1,1,0,-1
2,249,0,0,0,0
3,249,0,0,0,0
4,249,0,0,0,0
5,249,0,0,0,0
6,249,0,0,0,0
7,248,1,1,0,-1
8,248,0,0,0,0
9,248,0,0,0,0
10,248,0,0,0,0
11,248,0,0,0,0
12,248,0,0,0,0
13,248,0,0,0,0
14,248,0,0,0,0
15,248,0,0,0,0
16,248,0,0,0,0
17,247,1,1,0,-1
18,247,0,0,0,0
19,247,0,0,0,0
20,247,0,0,0,0
21,247,0,0,0,0
22,247,0,0,0,0
23,247,0,0,0,0
24,247,0,0,0,0
25,247,0,0,0,0
26,247,0,0,0,0
27,247,0,0,0,0
28,246,1,1,0,-1
29,246,0,0,0,0
30,245,1,1,0,-1
31,245,0,0,0,0
32,245,0,0,0,0
33,245,0,0,0,0
34,245,0,0,0,0
35,245,0,0,0,0
36,245,0,0,0,0
37,245,0,0,0,0
38,245,0,0,0,0
39,245,0,0,0,0
40,245,0,0,0,0
41,245,0,0,0,0
42,244,1,1,0,-1
43,243,1,1,0,-1
44,242,1,1,0,-1
45,242,0,0,0,0
46,242,0,0,0,0
47,242,0,0,0,0
48,242,0,0,0,0
49,242,0,0,0,0
50,242,0,0,0,0
51,242,0,0,0,0
52,242,0,0,0,0
53,242,0,0,0,0
54,242,0,0,0,0
55,242,0,0,0,0
56,242,0,0,0,0
57,242,0,0,0,0
58,242,0,0,0,0
59,242,0,0,0,0
60,242,0,0,0,0
61,241,1,1,0,-1
62,241,0,0,0,0
63,241,0,0,0,0
64,241,0,0,0,0
65,241,0,0,0,0
66,240,1,1,0,-1
67,240,0,0,0,0
68,240,0,0,0,0
69,240,0,0,0,0
70,240,0,0,0,0
71,240,0,0,0,0
72,240,0,0,0,0
73,240,0,0,0,0
74,240,0,0,0,0
75,239,1,1,0,-1
76,239,0,0,0,0
77,239,0,0,0,0
78,239,0,0,0,0
79,239,0,0,0,0
80,239,0,0,0,0
81,239,0,0,0,0
82,239,0,0,0,0
83,238,1,1,0,-1
84,238,0,0,0,0
85,237,1,1,0,-1
86,237,0,0,0,0
87,237,0,0,0,0
88,236,1,1,0,-1
89,236,0,0,0,0
90,236,0,0,0,0
91,236,0,0,0,0
92,236,0,0,0,0
93,236,0,0,0,0
94,236,0,0,0,0
95,235,1,1,0,-1
96,235,0,0,0,0
97,235,0,0,0,0
98,235,0,0,0,0
99,235,0,0,0,0
100,235,0,0,0,0
101,235,0,0,0,0
102,235,0,0,0,0
103,234,1,1,0,-1
104,234,0,0,0,0
105,234,0,0,0,0
106,232,1,2,0,-2
107,232,0,0,0,0
108,232,0,0,0,0
109,232,0,0,0,0
110,232,0,0,0,0
111,232,0,0,0,0
112,232,0,0,0,0
113,232,0,0,0,0
114,232,0,0,0,0
115,232,0,0,0,0
116,232,0,0,0,0
117,232,0,0,0,0
118,232,0,0,0,0
119,231,1,1,0,-1
120,230,1,1,0,-1
121,230,0,0,0,0
122,229,1,1,0,-1
123,228,1,1,0,-1
124,228,0,0,0,0
125,228,0,0,0,0
126,228,0,0,0,0
127,228,0,0,0,0
128,228,0,0,0,0
129,228,0,0,0,0
130,228,0,0,0,0
131,228,0,0,0,0
132,227,1,1,0,-1
133,227,0,0,0,0
134,226,1,1,0,-1
135,226,0,0,0,0
136,226,0,0,0,0
137,226,0,0,0,0
138,226,0,0,0,0
139,226,0,0,0,0
140,225,1,1,0,-1
141,225,0,0,0,0
142,225,0,0,0,0
143,225,0,0,0,0
144,225,0,0,0,0
145,225,0,0,0,0
146,224,1,1,0,-1
147,224,0,0,0,0
148,224,0,0,0,0
149,224,0,0,0,0
150,223,1,1,0,-1
151,222,1,1,0,-1
152,222,0,0,0,0
153,222,0,0,0,0
154,222,0,0,0,0
155,222,0,0,0,0
156,222,0,0,0,0
157,222,0,0,0,0
158,222,0,0,0,0
159,222,0,0,0,0
160,222,0,0,0,0
161,222,0,0,0,0
162,222,0,0,0,0
163,222,0,0,0,0
164,222,0,0,0,0
165,222,0,0,0,0
166,222,0,0,0,0
167,222,0,0,0,0
168,222,0,0,0,0
169,222,0,0,0,0
170,222,0,0,0,0
171,222,0,0,0,0
172,222,0,0,0,0
173,221,1,1,0,-1
174,220,1,1,0,-1
175,220,0,0,0,0
176,220,0,0,0,0
177,220,0,0,0,0
178,219,1,1,0,-1
179,219,0,0,0,0
180,219,0,0,0,0
181,218,1,1,0,-1
182,217,1,1,0,-1
183,217,0,0,0,0
184,218,0,1,2,1
185,218,0,0,0,0
186,217,1,1,0,-1
187,217,0,0,0,0
188,217,0,0,0,0
189,218,0,1,2,1
190,218,0,0,0,0
191,217,1,1,0,-1
192,216,1,1,0,-1
193,215,1,1,0,-1
194,215,0,0,0,0
195,215,0,0,0,0
196,215,0,0,0,0
197,216,0,1,2,1
198,217,0,1,2,1
199,218,0,1,2,1
200,217,1,1,0,-1
201,217,0,0,0,0
202,217,0,0,0,0
203,217,0,0,0,0
204,218,0,1,2,1
205,219,0,1,2,1
206,219,0,0,0,0
207,219,1,2,2,0
208,219,0,0,0,0
209,219,0,0,0,0
210,219,0,0,0,0
211,219,0,0,0,0
212,220,0,1,2,1
213,220,0,0,0,0
214,220,0,0,0,0
215,220,0,0,0,0
216,220,1,2,2,0
217,220,0,0,0,0
218,220,0,0,0,0
219,219,1,1,0,-1
220,220,0,1,2,1
221,220,0,0,0,0
222,220,0,0,0,0
223,220,0,0,0,0
224,221,0,1,2,1
225,221,0,0,0,0
226,221,0,0,0,0
227,221,0,0,0,0
228,221,0,0,0,0
229,221,0,0,0,0
230,221,0,0,0,0
231,221,0,0,0,0
232,221,0,0,0,0
233,221,0,0,0,0
234,222,0,1,2,1
235,222,0,0,0,0
236,221,1,1,0,-1
237,221,0,0,0,0
238,222,0,1,2,1
239,223,0,1,2,1
240,223,0,0,0,0
241,223,0,0,0,0
242,223,0,0,0,0
243,223,0,0,0,0
244,223,0,0,0,0
245,224,0,1,2,1
246,224,0,0,0,0
247,224,0,0,0,0
248,224,0,0,0,0
249,224,0,0,0,0
250,224,0,0,0,0
251,223,1,1,0,-1
252,225,0,2,4,2
253,225,0,0,0,0
254,225,0,0,0,0
255,226,0,1,2,1
256,226,1,2,2,0
257,226,0,0,0,0
258,225,1,1,0,-1
259,225,0,0,0,0
260,225,0,0,0,0
261,225,0,0,0,0
262,226,0,1,2,1
263,227,0,1,2,1
264,227,0,0,0,0
265,227,0,0,0,0
266,227,0,0,0,0
267,227,0,0,0,0
268,227,0,0,0,0
269,228,0,1,2,1
270,229,0,1,2,1
271,228,1,1,0,-1
272,229,0,1,2,1
273,229,0,0,0,0
274,229,0,0,0,0
275,229,0,0,0,0
276,230,0,1,2,1
277,230,0,0,0,0
278,230,0,0,0,0
279,230,0,0,0,0
280,230,0,0,0,0
281,230,0,0,0,0
282,230,0,0,0,0
283,230,0,0,0,0
284,229,1,1,0,-1
285,230,0,1,2,1
286,231,0,1,2,1
287,231,0,0,0,0
288,231,0,0,0,0
289,231,0,0,0,0
290,232,0,1,2,1
291,232,0,0,0,0
292,233,0,1,2,1
293,233,1,2,2,0
294,233,0,0,0,0
295,233,0,0,0,0
296,234,0,1,2,1
297,233,1,1,0,-1
298,233,0,0,0,0
299,233,1,2,2,0
300,234,0,1,2,1
301,234,0,0,0,0
302,235,0,1,2,1
303,235,0,0,0,0
304,235,0,0,0,0
305,236,0,1,2,1
306,236,0,0,0,0
307,236,0,0,0,0
308,236,0,0,0,0
309,236,0,0,0,0
310,237,0,1,2,1
311,237,0,0,0,0
312,237,0,0,0,0
313,237,1,2,2,0
314,237,0,0,0,0
315,237,0,0,0,0
316,237,0,0,0,0
317,236,1,1,0,-1
318,236,0,0,0,0
319,236,0,0,0,0
320,238,0,2,4,2
321,238,0,0,0,0
322,238,0,0,0,0
323,238,0,0,0,0
324,238,0,0,0,0
325,238,0,0,0,0
326,239,0,1,2,1
327,239,0,0,0,0
328,238,1,1,0,-1
329,237,1,1,0,-1
330,237,0,0,0,0
331,237,0,0,0,0
332,237,0,0,0,0
333,237,0,0,0,0
334,237,0,0,0,0
335,237,0,0,0,0
336,237,0,0,0,0
337,238,0,1,2,1
338,239,0,1,2,1
339,238,1,1,0,-1
340,239,0,1,2,1
341,239,0,0,0,0
342,239,0,0,0,0
343,239,0,0,0,0
344,238,1,1,0,-1
345,240,0,2,4,2
346,239,0,1,0,-1
347,240,0,1,2,1
348,240,0,0,0,0
349,240,0,0,0,0
350,240,0,0,0,0
351,240,0,0,0,0
352,240,0,0,0,0
353,240,0,0,0,0
354,240,0,0,0,0
355,240,0,0,0,0
356,240,1,2,2,0
357,238,2,2,0,-2
358,238,0,0,0,0
359,238,0,0,0,0
360,238,0,0,0,0
361,238,0,0,0,0
362,238,0,0,0,0
363,238,0,0,0,0
364,238,0,0,0,0
365,238,0,0,0,0
366,238,0,0,0,0
367,236,2,2,0,-2
368,236,0,0,0,0
369,236,0,0,0,0
370,236,0,0,0,0
371,237,0,1,2,1
372,237,0,0,0,0
373,237,0,0,0,0
374,237,0,0,0,0
375,237,1,2,2,0
376,237,0,0,0,0
377,237,0,0,0,0
378,238,0,1,2,1
379,239,0,1,2,1
380,239,0,0,0,0
381,239,0,0,0,0
382,239,0,0,0,0
383,239,0,0,0,0
384,239,0,0,0,0
385,239,0,0,0,0
386,239,0,0,0,0
387,239,0,0,0,0
388,239,0,2,2,0
389,238,1,1,0,-1
390,238,0,0,0,0
391,238,0,0,0,0
392,238,0,0,0,0
393,237,0,1,0,-1
394,237,0,0,0,0
395,237,0,0,0,0
396,237,0,0,0,0
397,235,2,2,0,-2
398,234,1,1,0,-1
399,234,0,0,0,0
400,234,0,0,0,0
401,234,0,0,0,0
402,234,0,0,0,0
403,234,0,0,0,0
404,235,0,1,2,1
405,235,0,0,0,0
406,235,0,0,0,0
407,236,0,1,2,1
408,236,0,0,0,0
409,236,0,0,0,0
410,235,1,1,0,-1
411,235,0,0,0,0
412,235,0,0,0,0
