,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,250,0,0,0,0
1,250,0,0,0,0
2,250,0,0,0,0
3,250,0,0,0,0
4,250,0,0,0,0
5,250,0,0,0,0
6,250,0,0,0,0
7,250,0,0,0,0
8,249,1,0,0,-1
9,248,1,0,0,-1
10,248,0,0,0,0
11,248,0,0,0,0
12,247,0,1,0,-1
13,247,0,0,0,0
14,247,0,0,0,0
15,247,0,0,0,0
16,246,1,0,0,-1
17,246,0,0,0,0
18,246,0,0,0,0
19,246,0,0,0,0
20,246,0,0,0,0
21,246,0,0,0,0
22,246,0,0,0,0
23,246,0,0,0,0
24,246,0,0,0,0
25,246,0,0,0,0
26,246,0,0,0,0
27,245,1,0,0,-1
28,245,0,0,0,0
29,245,0,0,0,0
30,245,0,0,0,0
31,245,0,0,0,0
32,244,0,1,0,-1
33,244,0,0,0,0
34,244,0,0,0,0
35,244,0,0,0,0
36,243,1,0,0,-1
37,243,0,0,0,0
38,243,0,0,0,0
39,243,0,0,0,0
40,243,0,0,0,0
41,243,0,0,0,0
42,243,0,0,0,0
43,243,0,0,0,0
44,242,0,1,0,-1
45,242,0,0,0,0
46,242,0,0,0,0
47,242,0,0,0,0
48,242,0,0,0,0
49,241,1,0,0,-1
50,240,1,0,0,-1
51,240,0,0,0,0
52,240,0,0,0,0
53,240,0,0,0,0
54,240,0,0,0,0
55,240,0,0,0,0
56,240,0,0,0,0
57,240,0,0,0,0
58,240,0,0,0,0
59,240,0,0,0,0
60,240,0,0,0,0
61,239,1,0,0,-1
62,239,0,0,0,0
63,239,0,0,0,0
64,239,0,0,0,0
65,238,0,1,0,-1
66,238,0,0,0,0
67,236,2,0,0,-2
68,236,0,0,0,0
69,236,0,0,0,0
70,236,0,0,0,0
71,236,0,0,0,0
72,236,0,0,0,0
73,235,1,0,0,-1
74,234,0,1,0,-1
75,233,1,0,0,-1
76,233,0,0,0,0
77,233,0,0,0,0
78,233,0,0,0,0
79,233,0,0,0,0
80,233,0,0,0,0
81,233,0,0,0,0
82,233,0,0,0,0
83,232,1,0,0,-1
84,231,1,0,0,-1
85,231,0,0,0,0
86,231,0,0,0,0
87,231,0,0,0,0
88,231,0,0,0,0
89,231,0,0,0,0
90,231,0,0,0,0
91,231,0,0,0,0
92,231,0,0,0,0
93,230,1,0,0,-1
94,230,0,0,0,0
95,230,0,0,0,0
96,230,0,0,0,0
97,230,0,0,0,0
98,230,0,0,0,0
99,229,1,0,0,-1
100,229,0,0,0,0
101,229,0,0,0,0
102,229,0,0,0,0
103,229,0,0,0,0
104,229,0,0,0,0
105,229,0,0,0,0
106,229,0,0,0,0
107,229,0,0,0,0
108,229,0,0,0,0
109,229,0,0,0,0
110,229,0,0,0,0
111,229,0,0,0,0
112,229,0,0,0,0
113,229,0,0,0,0
114,228,1,0,0,-1
115,228,0,0,0,0
116,228,0,0,0,0
117,228,0,0,0,0
118,228,0,0,0,0
119,228,0,0,0,0
120,228,0,0,0,0
121,227,1,0,0,-1
122,226,0,1,0,-1
123,226,0,0,0,0
124,226,0,0,0,0
125,225,0,1,0,-1
126,225,0,0,0,0
127,225,0,0,0,0
128,225,0,0,0,0
129,225,0,0,0,0
130,225,0,0,0,0
131,224,1,0,0,-1
132,224,0,0,0,0
133,224,0,0,0,0
134,224,0,0,0,0
135,223,0,1,0,-1
136,223,0,0,0,0
137,223,0,0,0,0
138,223,0,0,0,0
139,223,0,0,0,0
140,223,0,0,0,0
141,223,0,0,0,0
142,223,0,0,0,0
143,223,0,0,0,0
144,223,0,0,0,0
145,223,0,0,0,0
146,223,0,0,0,0
147,223,0,0,0,0
148,223,0,0,0,0
149,223,0,0,0,0
150,223,0,0,0,0
151,223,0,0,0,0
152,223,0,0,0,0
153,223,0,0,0,0
154,223,0,0,0,0
155,223,0,0,0,0
156,223,0,0,0,0
157,223,0,0,0,0
158,223,0,0,0,0
159,222,1,0,0,-1
160,222,0,0,0,0
161,222,0,0,0,0
162,220,2,0,0,-2
163,220,0,0,0,0
164,219,1,0,0,-1
165,219,0,0,0,0
