,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,60,0,0,0,0
1,60,0,0,0,0
2,60,0,0,0,0
3,60,0,0,0,0
4,60,0,0,0,0
5,60,0,0,0,0
6,60,0,0,0,0
7,60,0,0,0,0
8,60,0,0,0,0
9,60,0,0,0,0
10,60,0,0,0,0
11,60,0,0,0,0
12,60,0,0,0,0
13,60,0,0,0,0
14,60,0,0,0,0
15,60,0,0,0,0
16,60,0,0,0,0
17,60,0,0,0,0
18,60,0,0,0,0
19,60,0,0,0,0
20,60,0,0,0,0
21,60,0,0,0,0
22,60,0,0,0,0
23,60,0,0,0,0
24,60,0,0,0,0
25,60,0,0,0,0
26,60,0,0,0,0
27,60,0,0,0,0
28,60,0,0,0,0
29,60,0,0,0,0
30,60,0,0,0,0
31,60,0,0,0,0
32,60,0,0,0,0
33,60,0,0,0,0
34,60,0,0,0,0
35,60,0,0,0,0
36,60,0,0,0,0
37,60,0,0,0,0
38,60,0,0,0,0
39,60,0,0,0,0
40,60,0,0,0,0
41,60,0,0,0,0
42,60,0,0,0,0
43,60,0,0,0,0
44,60,0,0,0,0
45,60,0,0,0,0
46,60,0,0,0,0
47,60,0,0,0,0
48,60,0,0,0,0
49,60,0,0,0,0
50,60,0,0,0,0
51,60,0,0,0,0
52,60,0,0,0,0
53,60,0,0,0,0
54,60,0,0,0,0
55,60,0,0,0,0
56,60,0,0,0,0
57,60,0,0,0,0
58,60,0,0,0,0
59,60,0,0,0,0
60,60,0,0,0,0
61,60,0,0,0,0
62,60,0,0,0,0
63,60,0,0,0,0
64,60,0,0,0,0
65,60,0,0,0,0
66,60,0,0,0,0
67,60,0,0,0,0
68,60,0,0,0,0
69,60,0,0,0,0
70,60,0,0,0,0
71,60,0,0,0,0
72,60,0,0,0,0
73,60,0,0,0,0
74,60,0,0,0,0
75,60,0,0,0,0
76,60,0,0,0,0
77,60,0,0,0,0
78,60,0,0,0,0
79,60,0,0,0,0
80,60,0,0,0,0
81,60,0,0,0,0
82,60,0,0,0,0
83,60,0,0,0,0
84,60,0,0,0,0
85,60,0,0,0,0
86,60,0,0,0,0
87,60,0,0,0,0
88,60,0,0,0,0
89,60,0,0,0,0
90,60,0,0,0,0
91,60,0,0,0,0
92,60,0,0,0,0
93,60,0,0,0,0
94,60,0,0,0,0
95,60,0,0,0,0
96,60,0,0,0,0
97,60,0,0,0,0
98,60,0,0,0,0
99,60,0,0,0,0
100,60,0,0,0,0
101,60,0,0,0,0
102,60,0,0,0,0
103,60,0,0,0,0
104,60,0,0,0,0
105,60,0,0,0,0
106,60,0,0,0,0
107,60,0,0,0,0
108,60,0,0,0,0
109,60,0,0,0,0
110,60,0,0,0,0
111,60,0,0,0,0
112,60,0,0,0,0
113,60,0,0,0,0
114,60,0,0,0,0
115,60,0,0,0,0
116,60,0,0,0,0
117,60,0,0,0,0
118,60,0,0,0,0
119,60,0,0,0,0
120,60,0,0,0,0
121,60,0,0,0,0
122,60,0,0,0,0
123,60,0,0,0,0
124,60,0,0,0,0
125,60,0,0,0,0
126,60,0,0,0,0
127,60,0,0,0,0
128,60,0,0,0,0
129,60,0,0,0,0
130,60,0,0,0,0
131,60,0,0,0,0
132,60,0,0,0,0
133,60,0,0,0,0
134,60,0,0,0,0
135,60,0,0,0,0
136,60,0,0,0,0
137,60,0,0,0,0
138,60,0,0,0,0
139,60,0,0,0,0
140,60,0,0,0,0
141,60,0,0,0,0
142,60,0,0,0,0
143,60,0,0,0,0
144,60,0,0,0,0
145,60,0,0,0,0
146,60,0,0,0,0
147,60,0,0,0,0
148,60,0,0,0,0
149,60,0,0,0,0
150,61,0,0,1,1
151,61,0,0,0,0
152,61,0,0,0,0
153,61,0,0,0,0
154,61,0,0,0,0
155,61,0,0,0,0
156,61,0,0,0,0
157,62,0,0,1,1
158,62,0,0,0,0
159,65,0,0,3,3
160,65,0,0,0,0
161,65,0,0,0,0
162,66,0,0,1,1
163,67,0,0,1,1
164,67,0,0,0,0
165,67,0,0,0,0
166,67,0,0,0,0
167,67,0,0,0,0
168,68,0,0,1,1
169,68,0,0,0,0
170,68,0,0,0,0
171,68,0,0,0,0
172,68,0,0,0,0
173,68,0,0,0,0
174,68,0,0,0,0
175,68,0,0,0,0
176,68,0,0,0,0
177,68,0,0,0,0
178,69,0,0,1,1
179,69,0,0,0,0
180,69,0,0,0,0
181,69,0,0,0,0
182,69,0,0,0,0
183,70,0,0,1,1
184,70,0,0,0,0
185,70,0,0,0,0
186,70,0,0,0,0
187,70,0,0,0,0
188,71,0,0,1,1
189,71,0,0,0,0
190,71,0,0,0,0
191,71,0,0,0,0
192,71,0,0,0,0
193,72,0,0,1,1
194,72,0,0,0,0
195,72,0,0,0,0
196,72,0,0,0,0
197,72,0,0,0,0
198,72,0,0,0,0
199,72,0,0,0,0
200,73,0,0,1,1
201,73,0,0,0,0
202,73,0,0,0,0
203,73,0,0,0,0
204,73,0,0,0,0
205,72,0,1,0,-1
206,72,0,0,0,0
207,72,0,0,0,0
208,72,0,0,0,0
209,73,0,0,1,1
210,73,0,0,0,0
211,73,0,0,0,0
212,73,0,0,0,0
213,73,0,0,0,0
214,73,0,0,0,0
215,73,0,0,0,0
216,73,0,0,0,0
217,73,0,0,0,0
218,73,0,0,0,0
219,73,0,0,0,0
220,73,0,0,0,0
221,73,0,0,0,0
222,73,0,0,0,0
223,73,0,0,0,0
224,73,0,0,0,0
225,73,0,0,0,0
226,73,0,0,0,0
227,73,0,0,0,0
228,73,0,0,0,0
229,73,0,0,0,0
230,73,0,0,0,0
231,73,0,0,0,0
232,73,0,0,0,0
233,73,0,0,0,0
234,73,0,0,0,0
235,73,0,0,0,0
236,73,0,0,0,0
237,73,0,0,0,0
238,73,0,0,0,0
239,73,0,0,0,0
240,73,0,0,0,0
241,73,0,0,0,0
242,73,0,0,0,0
243,73,0,0,0,0
244,73,0,0,0,0
245,73,0,0,0,0
246,73,0,0,0,0
247,73,0,0,0,0
248,73,0,0,0,0
249,73,0,0,0,0
250,74,0,0,1,1
251,75,0,0,1,1
252,75,0,0,0,0
253,76,0,0,1,1
254,76,0,0,0,0
255,76,0,0,0,0
256,76,0,0,0,0
257,76,0,0,0,0
258,76,0,0,0,0
259,76,0,0,0,0
260,76,0,0,0,0
261,76,0,0,0,0
262,76,0,0,0,0
263,77,0,0,1,1
264,77,0,0,0,0
265,77,0,0,0,0
266,78,0,0,1,1
267,78,0,0,0,0
268,78,0,0,0,0
269,78,0,0,0,0
270,78,0,0,0,0
271,78,0,0,0,0
272,78,0,0,0,0
273,78,0,0,0,0
274,79,0,0,1,1
275,79,0,0,0,0
276,79,0,0,0,0
277,80,0,0,1,1
278,80,0,0,0,0
279,80,0,0,0,0
280,80,0,0,0,0
281,80,0,0,0,0
282,80,0,0,0,0
283,80,0,0,0,0
284,81,0,0,1,1
285,81,0,0,0,0
286,80,0,1,0,-1
287,80,0,0,0,0
288,80,0,0,0,0
289,80,0,0,0,0
290,80,0,0,0,0
291,80,0,0,0,0
292,80,0,0,0,0
293,80,0,1,1,0
294,81,0,0,1,1
295,81,0,0,0,0
296,81,0,0,0,0
297,81,0,0,0,0
298,81,0,0,0,0
299,81,0,0,0,0
300,81,0,0,0,0
301,81,0,0,0,0
302,81,0,0,0,0
303,82,0,0,1,1
304,82,0,0,0,0
305,82,0,0,0,0
306,84,0,0,2,2
307,84,0,0,0,0
308,85,0,0,1,1
309,85,0,0,0,0
310,85,0,0,0,0
311,85,0,0,0,0
312,85,0,0,0,0
313,85,0,0,0,0
314,85,0,0,0,0
315,86,0,0,1,1
316,86,0,0,0,0
317,86,0,0,0,0
318,86,0,0,0,0
319,86,0,0,0,0
320,86,0,1,1,0
321,86,0,0,0,0
322,86,0,0,0,0
323,86,0,0,0,0
324,86,0,0,0,0
325,86,0,0,0,0
326,86,0,0,0,0
327,86,0,0,0,0
328,85,0,1,0,-1
329,86,0,0,1,1
330,86,0,0,0,0
331,86,0,0,0,0
332,86,0,0,0,0
333,86,0,0,0,0
334,86,0,0,0,0
335,86,0,0,0,0
336,86,0,0,0,0
337,86,0,0,0,0
338,86,0,0,0,0
339,86,0,0,0,0
340,86,0,0,0,0
341,87,0,0,1,1
342,87,0,0,0,0
343,87,0,0,0,0
344,87,0,0,0,0
345,88,0,0,1,1
346,88,0,0,0,0
347,88,0,0,0,0
348,88,0,0,0,0
349,88,0,0,0,0
350,88,0,0,0,0
351,89,0,0,1,1
352,90,0,0,1,1
353,90,0,0,0,0
354,90,0,0,0,0
355,90,0,0,0,0
356,91,0,0,1,1
357,91,0,0,0,0
358,91,0,0,0,0
359,91,0,0,0,0
360,92,0,0,1,1
361,92,0,0,0,0
362,92,0,0,0,0
363,92,0,0,0,0
364,92,0,0,0,0
365,92,0,0,0,0
366,92,0,0,0,0
367,91,0,1,0,-1
368,91,0,0,0,0
369,91,0,0,0,0
370,91,0,0,0,0
371,91,0,1,1,0
372,91,0,0,0,0
373,91,0,0,0,0
374,92,0,0,1,1
375,92,0,0,0,0
376,92,0,0,0,0
377,92,0,0,0,0
378,92,0,0,0,0
379,92,0,0,0,0
380,93,0,0,1,1
381,93,0,0,0,0
382,93,0,0,0,0
383,93,0,0,0,0
384,94,0,0,1,1
385,94,0,0,0,0
386,94,0,0,0,0
387,95,0,0,1,1
388,95,0,0,0,0
389,95,0,0,0,0
390,95,0,0,0,0
391,95,0,0,0,0
392,95,0,0,0,0
393,95,0,0,0,0
394,95,0,0,0,0
395,95,0,0,0,0
396,96,0,0,1,1
397,96,0,0,0,0
398,96,0,0,0,0
399,97,0,0,1,1
400,97,0,0,0,0
401,97,0,0,0,0
402,98,0,0,1,1
403,98,0,0,0,0
404,98,0,0,0,0
405,99,0,0,1,1
406,100,0,0,1,1
407,101,0,0,1,1
