,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,60,0,0,0,0
1,60,0,0,0,0
2,60,0,0,0,0
3,60,0,0,0,0
4,59,1,0,0,-1
5,59,0,0,0,0
6,59,0,0,0,0
7,59,0,0,0,0
8,59,0,0,0,0
9,59,0,0,0,0
10,59,0,0,0,0
11,59,0,0,0,0
12,59,0,0,0,0
13,58,1,0,0,-1
14,58,0,0,0,0
15,58,0,0,0,0
16,58,0,0,0,0
17,58,0,0,0,0
18,58,0,0,0,0
19,58,0,0,0,0
20,58,0,0,0,0
21,58,0,0,0,0
22,58,0,0,0,0
23,58,0,0,0,0
24,58,0,0,0,0
25,58,0,0,0,0
26,58,0,0,0,0
27,58,0,0,0,0
28,58,0,0,0,0
29,58,0,0,0,0
30,58,0,0,0,0
31,57,1,0,0,-1
32,56,1,0,0,-1
33,56,0,0,0,0
34,56,0,0,0,0
35,56,0,0,0,0
36,56,0,0,0,0
37,56,0,0,0,0
38,56,0,0,0,0
39,56,0,0,0,0
40,56,0,0,0,0
41,55,1,0,0,-1
42,55,0,0,0,0
43,55,0,0,0,0
44,55,0,0,0,0
45,55,0,0,0,0
46,55,0,0,0,0
47,55,0,0,0,0
48,55,0,0,0,0
49,55,0,0,0,0
50,55,0,0,0,0
51,55,0,0,0,0
52,55,0,0,0,0
53,55,0,0,0,0
54,55,0,0,0,0
55,55,0,0,0,0
56,55,0,0,0,0
57,55,0,0,0,0
58,55,0,0,0,0
59,55,0,0,0,0
60,55,0,0,0,0
61,55,0,0,0,0
62,55,0,0,0,0
63,55,0,0,0,0
64,55,0,0,0,0
65,55,0,0,0,0
66,55,0,0,0,0
67,55,0,0,0,0
68,55,0,0,0,0
69,55,0,0,0,0
70,55,0,0,0,0
71,55,0,0,0,0
72,55,0,0,0,0
73,55,0,0,0,0
74,55,0,0,0,0
75,55,0,0,0,0
76,55,0,0,0,0
77,55,0,0,0,0
78,55,0,0,0,0
79,55,0,0,0,0
80,55,0,0,0,0
81,55,0,0,0,0
82,55,0,0,0,0
83,55,0,0,0,0
84,55,0,0,0,0
85,55,0,0,0,0
86,55,0,0,0,0
87,55,0,0,0,0
88,55,0,0,0,0
89,54,1,0,0,-1
90,54,0,0,0,0
91,54,0,0,0,0
92,54,0,0,0,0
93,54,0,0,0,0
94,54,0,0,0,0
95,54,0,0,0,0
96,54,0,0,0,0
97,54,0,0,0,0
98,54,0,0,0,0
99,54,0,0,0,0
100,54,0,0,0,0
101,54,0,0,0,0
102,54,0,0,0,0
103,54,0,0,0,0
104,54,0,0,0,0
105,54,0,0,0,0
106,54,0,0,0,0
107,54,0,0,0,0
108,54,0,0,0,0
109,53,1,0,0,-1
110,53,0,0,0,0
111,53,0,0,0,0
112,53,0,0,0,0
113,53,0,0,0,0
114,53,0,0,0,0
115,53,0,0,0,0
116,53,0,0,0,0
117,53,0,0,0,0
118,52,1,0,0,-1
119,52,0,0,0,0
120,52,0,0,0,0
121,52,0,0,0,0
122,51,1,0,0,-1
123,51,0,0,0,0
124,51,0,0,0,0
125,51,0,0,0,0
126,51,0,0,0,0
127,51,0,0,0,0
128,51,0,0,0,0
129,51,0,0,0,0
130,51,0,0,0,0
131,51,0,0,0,0
132,51,0,0,0,0
133,51,0,0,0,0
134,51,0,0,0,0
135,51,0,0,0,0
136,51,0,0,0,0
137,51,0,0,0,0
138,51,0,0,0,0
139,51,0,0,0,0
140,51,0,0,0,0
141,51,0,0,0,0
142,51,0,0,0,0
143,51,0,0,0,0
144,51,0,0,0,0
145,50,1,0,0,-1
146,50,0,0,0,0
147,50,0,0,0,0
148,50,0,0,0,0
149,50,0,0,0,0
150,50,0,0,0,0
151,50,0,0,0,0
152,50,0,0,0,0
153,50,0,0,0,0
154,50,0,0,0,0
155,50,0,0,0,0
156,50,0,0,0,0
157,50,0,0,0,0
158,50,0,0,0,0
159,50,0,0,0,0
160,49,1,0,0,-1
161,49,0,0,0,0
162,49,0,0,0,0
163,49,0,0,0,0
164,49,0,0,0,0
165,49,0,0,0,0
166,49,0,0,0,0
167,49,0,0,0,0
168,49,0,0,0,0
169,49,0,0,0,0
170,49,0,0,0,0
171,49,0,0,0,0
172,49,0,0,0,0
173,49,0,0,0,0
174,49,0,0,0,0
175,49,0,0,0,0
176,49,0,0,0,0
177,49,0,0,0,0
178,50,0,0,1,1
179,50,0,0,0,0
180,50,0,0,0,0
181,50,0,0,0,0
182,50,0,0,0,0
183,50,0,0,0,0
184,50,0,0,0,0
185,50,0,0,0,0
186,50,0,0,0,0
187,50,0,0,0,0
188,50,0,0,0,0
189,50,0,0,0,0
190,50,0,0,0,0
191,50,0,0,0,0
192,50,0,0,0,0
193,50,0,0,0,0
194,50,0,0,0,0
195,50,0,0,0,0
196,50,0,0,0,0
197,50,0,0,0,0
198,50,0,0,0,0
199,50,0,0,0,0
200,49,1,0,0,-1
201,49,0,0,0,0
202,49,0,0,0,0
203,49,0,0,0,0
204,49,0,0,0,0
205,49,0,0,0,0
206,49,0,0,0,0
207,49,0,0,0,0
208,48,1,0,0,-1
209,47,1,0,0,-1
210,47,0,0,0,0
211,47,0,0,0,0
212,47,0,0,0,0
213,47,0,0,0,0
214,47,0,0,0,0
215,47,0,0,0,0
216,47,0,0,0,0
217,47,0,0,0,0
218,48,0,0,1,1
219,49,0,0,1,1
220,49,0,0,0,0
221,49,0,0,0,0
222,49,0,0,0,0
223,49,0,0,0,0
224,49,0,0,0,0
225,49,0,0,0,0
226,49,0,0,0,0
227,49,0,0,0,0
228,49,0,0,0,0
229,49,0,0,0,0
230,49,0,0,0,0
231,49,0,0,0,0
232,49,0,0,0,0
233,49,0,0,0,0
234,49,0,0,0,0
235,49,0,0,0,0
236,50,0,0,1,1
237,50,0,0,0,0
238,50,0,0,0,0
239,50,0,0,0,0
240,51,0,0,1,1
241,51,0,0,0,0
242,51,0,0,0,0
243,51,0,0,0,0
244,51,0,0,0,0
245,51,0,0,0,0
246,51,0,0,0,0
247,51,0,0,0,0
248,51,0,0,0,0
249,52,0,0,1,1
250,52,0,0,0,0
251,52,0,0,0,0
252,52,0,0,0,0
253,52,0,0,0,0
254,52,0,0,0,0
255,52,0,0,0,0
256,52,0,0,0,0
257,52,0,0,0,0
258,52,0,0,0,0
259,52,0,0,0,0
260,53,0,0,1,1
261,53,0,0,0,0
262,52,1,0,0,-1
263,52,0,0,0,0
264,53,0,0,1,1
265,53,0,0,0,0
266,55,0,0,2,2
267,55,0,0,0,0
268,55,0,0,0,0
269,56,0,0,1,1
270,56,0,0,0,0
271,56,0,0,0,0
272,56,0,0,0,0
273,56,0,0,0,0
274,56,0,0,0,0
275,56,0,0,0,0
276,56,0,0,0,0
277,56,0,0,0,0
278,56,0,0,0,0
279,56,0,0,0,0
280,56,0,0,0,0
281,56,0,0,0,0
282,56,0,0,0,0
283,57,0,0,1,1
284,55,1,1,0,-2
285,55,0,0,0,0
286,55,0,0,0,0
287,56,0,0,1,1
288,57,1,0,2,1
289,57,0,0,0,0
290,57,0,0,0,0
291,57,0,0,0,0
292,57,0,0,0,0
293,57,0,0,0,0
294,56,1,0,0,-1
295,56,0,0,0,0
296,56,0,0,0,0
297,57,0,0,1,1
298,57,0,0,0,0
299,57,0,0,0,0
300,57,0,0,0,0
301,56,1,0,0,-1
302,56,0,0,0,0
303,56,0,0,0,0
304,56,0,0,0,0
305,56,0,0,0,0
306,57,0,0,1,1
307,57,0,0,0,0
308,56,1,0,0,-1
309,56,0,0,0,0
310,56,0,0,0,0
311,56,0,0,0,0
312,56,0,0,0,0
313,56,0,0,0,0
314,56,1,0,1,0
315,55,1,0,0,-1
316,55,0,0,0,0
317,54,1,0,0,-1
318,54,0,0,0,0
319,54,0,0,0,0
320,54,0,0,0,0
321,54,0,0,0,0
322,54,0,0,0,0
323,54,0,0,0,0
324,54,0,0,0,0
325,54,0,0,0,0
326,54,0,0,0,0
327,54,0,0,0,0
328,54,0,0,0,0
329,54,0,0,0,0
330,54,0,0,0,0
331,54,0,0,0,0
332,54,0,0,0,0
333,54,0,0,0,0
334,54,0,0,0,0
335,54,0,0,0,0
336,54,0,0,0,0
337,55,0,0,1,1
338,55,0,0,0,0
339,55,0,0,0,0
340,55,0,0,0,0
341,55,0,0,0,0
342,55,0,0,0,0
343,55,0,0,0,0
344,55,0,0,0,0
345,55,0,0,0,0
346,55,0,0,0,0
347,55,0,0,0,0
348,55,0,0,0,0
349,55,0,0,0,0
350,55,0,0,0,0
351,55,0,0,0,0
352,55,0,0,0,0
353,55,0,0,0,0
354,55,0,0,0,0
355,55,0,0,0,0
356,55,0,0,0,0
357,55,0,0,0,0
358,55,0,0,0,0
359,55,0,0,0,0
360,55,0,0,0,0
361,55,0,0,0,0
362,55,0,0,0,0
363,55,0,0,0,0
364,55,0,0,0,0
365,55,0,0,0,0
366,55,0,0,0,0
367,55,0,0,0,0
368,55,0,0,0,0
369,55,0,0,0,0
370,55,0,0,0,0
371,55,0,0,0,0
372,55,0,0,0,0
373,55,0,0,0,0
374,55,0,0,0,0
375,55,0,0,0,0
376,55,0,0,0,0
377,55,0,0,0,0
378,55,0,0,0,0
379,55,0,0,0,0
380,55,0,0,0,0
381,55,0,0,0,0
382,55,0,0,0,0
383,54,1,0,0,-1
384,54,0,0,0,0
385,54,0,0,0,0
386,54,0,0,0,0
387,54,0,0,0,0
388,54,0,0,0,0
389,54,0,0,0,0
390,53,1,0,0,-1
391,54,0,0,1,1
392,54,0,0,0,0
393,54,0,0,0,0
394,54,0,0,0,0
395,54,0,0,0,0
396,54,0,0,0,0
397,53,0,1,0,-1
398,53,0,0,0,0
399,54,0,0,1,1
400,54,0,0,0,0
401,53,0,1,0,-1
402,53,0,0,0,0
403,52,1,0,0,-1
404,52,0,0,0,0
405,52,0,0,0,0
